# #Alpha,Epeak,Redshift,Trigger Number
-1.844160000000000021e+00,nan,1.474999999999999922e-01,7.275410000000000000e+05
-1.200299999999999923e+00,7.305209999999999582e+01,1.548999999999999932e+00,7.226040000000000000e+05
-1.571309999999999985e+00,nan,2.012999999999999901e+00,7.180230000000000000e+05
-1.442549999999999999e+00,nan,2.822999999999999954e+00,7.175000000000000000e+05
-1.879359999999999919e+00,nan,1.600000000000000033e-01,7.093570000000000000e+05
-1.414700000000000069e+00,6.423340000000000316e+01,7.359999999999999876e-01,7.072310000000000000e+05
-3.330159999999999787e+00,nan,4.829999999999999849e-01,7.012880000000000000e+05
-2.176769999999999872e+00,nan,5.550000000000000488e-01,6.840980000000000000e+05
-1.106170000000000098e+00,nan,1.717000000000000082e+00,6.822690000000000000e+05
-1.837059999999999915e+00,nan,4.990000000000000213e+00,6.806550000000000000e+05
-1.528359999999999941e+00,nan,7.259999999999999787e-01,6.791200000000000000e+05
-7.531499999999999861e-01,7.553369999999999607e+01,2.379999999999999893e+00,6.764230000000000000e+05
-1.941440000000000055e+00,nan,3.520000000000000018e+00,6.725250000000000000e+05
-1.211929999999999952e+00,nan,9.719999999999999751e-01,6.722360000000000000e+05
-2.285120000000000040e+00,nan,8.699999999999999956e-01,6.708000000000000000e+05
-1.989559999999999995e+00,nan,2.589999999999999858e+00,6.673920000000000000e+05
#nan,nan,4.099999999999999645e+00,6.631790000000000000e+05
#nan,nan,3.500000000000000000e+00,6.630740000000000000e+05
-2.362569999999999837e+00,nan,1.167000000000000037e+00,6.623300000000000000e+05
-2.182160000000000100e+00,nan,1.423000000000000043e+00,6.620860000000000000e+05
-1.817209999999999992e+00,nan,4.062999999999999723e+00,6.618690000000000000e+05
-1.542319999999999913e+00,nan,8.100000000000000533e-01,6.617750000000000000e+05
-1.524929999999999897e+00,nan,2.330000000000000071e+00,6.606710000000000000e+05
-2.473910000000000053e+00,nan,1.967999999999999972e+00,6.557210000000000000e+05
-1.378689999999999971e+00,nan,1.360000000000000098e+00,6.550970000000000000e+05
-1.930970000000000075e+00,nan,7.550000000000000044e-01,6.528470000000000000e+05
-1.874929999999999986e+00,nan,2.819999999999999729e-01,6.526030000000000000e+05
-1.683859999999999912e+00,nan,3.138999999999999790e+00,6.378990000000000000e+05
-1.220920000000000005e+00,nan,2.060000000000000053e+00,6.370440000000000000e+05
-1.737710000000000088e+00,nan,5.929999999999999716e-01,6.358870000000000000e+05
-1.078279999999999905e+00,nan,1.758000000000000007e+00,6.347950000000000000e+05
-1.455670000000000019e+00,nan,1.516899999999999915e+00,6.331800000000000000e+05
-1.336980000000000057e+00,nan,2.087000000000000188e+00,6.300190000000000000e+05
-1.810340000000000060e+00,nan,4.600000000000000200e-01,6.271370000000000000e+05
-1.500000000000000000e+00,nan,1.343000000000000027e-01,9.196403500000000000e+07
-1.267870000000000053e+00,nan,9.150000000000000355e-01,6.224760000000000000e+05
-6.147019999999999706e-01,1.160979999999999990e+02,1.320000000000000062e+00,6.219150000000000000e+05
-1.749610000000000110e+00,nan,1.469999999999999973e+00,6.191820000000000000e+05
-1.509689999999999976e+00,nan,2.992999999999999883e+00,6.180240000000000000e+05
-1.854500000000000037e+00,nan,5.729999999999999538e-01,6.143900000000000000e+05
-1.650330000000000075e+00,nan,1.209999999999999964e+00,6.119330000000000000e+05
-1.986850000000000005e+00,nan,3.509999999999999787e-01,6.115990000000000000e+05
-2.037180000000000213e+00,nan,5.580000000000000515e-01,6.039540000000000000e+05
-1.699449999999999905e+00,nan,3.140000000000000124e+00,6.032430000000000000e+05
-1.851089999999999902e+00,nan,2.274999999999999911e+00,6.028840000000000000e+05
-3.080029999999999824e+00,nan,9.589999999999999636e-01,6.022780000000000000e+05
-1.496739999999999959e+00,nan,4.232999999999999652e+00,6.016460000000000000e+05
-9.769569999999999643e-01,4.792199999999999704e+01,4.706999999999999851e+00,5.992870000000000000e+05
-9.840969999999999995e-01,5.636789999999999878e+01,6.330000000000000071e+00,5.990370000000000000e+05
-1.335280000000000022e+00,nan,7.249999999999999778e-01,5.988190000000000000e+05
-1.556810000000000027e+00,nan,8.890000000000000124e-01,5.982840000000000000e+05
-2.005609999999999893e+00,nan,1.600000000000000089e+00,5.977220000000000000e+05
-1.335129999999999928e+00,nan,3.259999999999999787e+00,5.969010000000000000e+05
-1.154530000000000056e+00,nan,3.955999999999999961e+00,5.964260000000000000e+05
-1.961440000000000072e+00,nan,4.650000000000000355e+00,5.940810000000000000e+05
-1.345920000000000005e+00,nan,1.020000000000000018e+00,5.922040000000000000e+05
-1.696989999999999998e+00,nan,4.953999999999999737e+00,5.913900000000000000e+05
-8.468090000000000339e-01,1.368979999999999961e+02,5.283000000000000362e+00,5.902060000000000000e+05
-1.963379999999999903e+00,nan,1.415999999999999925e+00,5.895900000000000000e+05
-1.797379999999999978e+00,nan,1.207600000000000007e+00,5.865690000000000000e+05
-1.141720000000000068e+00,1.336100000000000136e+02,2.729999999999999982e+00,5.858340000000000000e+05
-2.069449999999999790e+00,nan,3.000000000000000000e+00,5.838610000000000000e+05
-1.805679999999999952e+00,nan,4.041999999999999815e+00,5.779680000000000000e+05
#nan,nan,1.685999999999999943e+00,5.767380000000000000e+05
-1.793400000000000105e+00,nan,5.955000000000000293e-01,5.765620000000000000e+05
-1.292370000000000019e+00,nan,1.292999999999999927e+00,5.762380000000000000e+05
-1.805180000000000007e+00,nan,7.169999999999999707e-01,5.731900000000000000e+05
-2.053319999999999812e+00,nan,3.479999999999999760e-01,5.718300000000000000e+05
-1.189570000000000016e+00,nan,1.237999999999999989e+00,5.699920000000000000e+05
-1.928399999999999892e+00,nan,4.791000000000000258e-01,5.688490000000000000e+05
-9.025990000000000402e-01,8.916209999999999525e+01,1.155000000000000027e+00,5.594820000000000000e+05
-1.994729999999999892e+00,nan,2.005999999999999783e+00,5.579760000000000000e+05
-1.272429999999999950e+00,nan,2.092000000000000082e+00,5.578450000000000000e+05
-1.518690000000000095e+00,nan,5.913400000000000212e+00,5.575890000000000000e+05
-1.628479999999999928e+00,nan,1.060000000000000053e+00,5.573540000000000000e+05
-8.221299999999999386e+00,nan,3.564999999999999836e-01,5.573100000000000000e+05
-1.551960000000000006e+00,nan,1.250000000000000000e+00,5.568700000000000000e+05
#nan,nan,2.487999999999999989e+00,5.561130000000000000e+05
-1.755220000000000002e+00,nan,3.600000000000000089e+00,5.558210000000000000e+05
-1.359099999999999975e+00,nan,1.303299999999999903e+00,5.556000000000000000e+05
-1.709109999999999907e+00,nan,2.270000000000000018e+00,5.551630000000000000e+05
-1.627599999999999936e+00,nan,2.779999999999999805e+00,5.546350000000000000e+05
-1.175610000000000044e+00,nan,3.398999999999999799e-01,5.546200000000000000e+05
-2.182830000000000048e+00,nan,1.296999999999999931e+00,5.539770000000000000e+05
-2.066889999999999894e+00,nan,1.217999999999999972e+00,5.538470000000000000e+05
-1.151659999999999906e+00,nan,3.758000000000000007e+00,5.531320000000000000e+05
-1.605480000000000018e+00,nan,5.969999999999999751e-01,5.487600000000000000e+05
-1.148079999999999989e+00,nan,2.539000000000000146e+00,5.474200000000000000e+05
-2.272759999999999891e+00,nan,2.706999999999999851e+00,5.443470000000000000e+05
-1.540240000000000054e+00,nan,3.100000000000000089e+00,5.424410000000000000e+05
-2.262599999999999945e+00,nan,1.022999999999999909e+00,5.412000000000000000e+05
-1.417680000000000051e+00,nan,2.100000000000000089e+00,5.409640000000000000e+05
-1.866419999999999968e+00,nan,3.384999999999999787e+00,5.401780000000000000e+05
-1.318449999999999900e+00,6.492270000000000607e+01,2.200000000000000178e+00,5.398660000000000000e+05
-1.813299999999999912e+00,nan,1.772999999999999909e+00,5.368310000000000000e+05
-1.322119999999999962e+00,nan,2.298000000000000043e+00,5.365800000000000000e+05
-1.800880000000000036e+00,nan,8.500000000000000000e+00,5.344020000000000000e+05
-1.999519999999999964e+00,nan,3.100000000000000089e+00,5.343940000000000000e+05
-1.368789999999999951e+00,nan,3.930000000000000160e+00,5.330600000000000000e+05
-1.652190000000000047e+00,nan,9.699999999999999734e-01,5.328710000000000000e+05
-2.300310000000000077e+00,nan,2.358600000000000030e+00,5.310030000000000000e+05
-1.330969999999999986e+00,4.731230000000000047e+01,2.670999999999999819e+00,5.306890000000000000e+05
-1.213109999999999911e+00,nan,3.100000000000000089e+00,5.300310000000000000e+05
-1.338999999999999968e+00,nan,1.300000000000000044e+00,5.296860000000000000e+05
-1.218140000000000001e+00,5.725820000000000221e+01,3.795999999999999819e+00,5.294860000000000000e+05
-1.612649999999999917e+00,nan,8.000000000000000444e-01,5.290950000000000000e+05
-2.430870000000000086e+00,nan,1.479999999999999982e+00,5.284430000000000000e+05
-2.008980000000000210e+00,nan,9.586000000000000076e-01,5.281950000000000000e+05
-1.529490000000000016e+00,nan,3.983999999999999764e-01,5.266420000000000000e+05
-1.364219999999999988e+00,nan,4.174500000000000099e+00,5.263510000000000000e+05
-1.116170000000000107e+00,nan,2.197400000000000020e+00,5.250680000000000000e+05
-1.655550000000000077e+00,nan,5.929999999999999716e+00,5.226560000000000000e+05
-1.986490000000000089e+00,nan,2.825300000000000034e-01,5.206580000000000000e+05
-1.852659999999999973e+00,nan,2.875999999999999890e+00,5.193800000000000000e+05
-1.714250000000000052e+00,nan,4.500000000000000000e+00,5.190430000000000000e+05
-1.517149999999999999e+00,nan,2.814499999999999780e+00,5.187310000000000000e+05
-1.399550000000000072e+00,4.683789999999999765e+01,1.798000000000000043e+00,5.186260000000000000e+05
-2.341009999999999813e+00,nan,1.100000000000000089e+00,5.159760000000000000e+05
-1.413289999999999935e+00,nan,2.399999999999999911e+00,5.145860000000000000e+05
-1.377380000000000049e+00,nan,1.727999999999999980e+00,5.120350000000000000e+05
-2.069970000000000088e+00,nan,2.943000000000000060e+00,5.120030000000000000e+05
-1.832619999999999916e+00,nan,1.380500000000000060e+00,5.107360000000000000e+05
-2.220610000000000195e+00,nan,7.162699999999999623e-01,5.106490000000000000e+05
-1.746210000000000040e+00,nan,2.969999999999999862e-01,5.103410000000000000e+05
