# #hd,t90
1.314504772344396777e+00,4.193042935006376482e+00
1.804901180811452566e+00,1.458615022699516706e+00
8.277337344648599826e-01,4.713665782141390537e+00
1.375312482235181655e+00,6.656844769115203952e+00
8.335835266158377888e-01,5.207823569329290692e+00
1.497254611001311853e+00,3.759337917762497927e+00
1.097011844811013992e+00,3.637586159726385659e+00
3.080144074097398987e-01,3.153931888227536007e+00
1.138156668510782232e+00,4.383126030117182381e+00
1.599786822759882599e+00,4.219037006179418903e+00
1.147997239677609471e+00,3.261015351062293011e+00
1.000332044763607264e+00,5.125296424637037163e+00
1.548863091477295173e+00,5.396332974288735151e+00
1.272626731328533101e+00,1.805004695978075668e+00
8.120771110438624873e-01,1.978515623089875497e+00
1.341661167494860585e-01,3.192285412594670024e+00
1.725350875581642462e+00,3.871201010907891149e+00
1.581177856609076393e+00,-2.131932204610416104e-01
1.210986386771020634e-01,3.917766480055211886e+00
1.307988060872729896e+00,4.542528531327910457e+00
7.418135293470849989e-01,4.355733992718957559e+00
9.937941465723637569e-01,3.592368553733092718e+00
1.385598678479241341e+00,5.058231094503515379e+00
1.553777182255758227e+00,2.695167575271196547e+00
1.845267386081209882e+00,5.191088439830182644e+00
1.269666261738489288e+00,3.298352218369978939e+00
1.009407683839410819e+00,4.100194087010992305e+00
1.107524887098514155e+00,3.656459562857825141e+00
1.219043210593767190e+00,4.869624572320568667e+00
1.397501151749712456e+00,4.151543715972908721e+00
2.143405140397452446e-01,4.241038941372904603e+00
7.894876402927901715e-01,1.945910149055313232e+00
1.501817574750229589e+00,4.163870624870710913e+00
1.539668343721605659e+00,4.219507705176106960e+00
9.526570704650061394e-01,3.010817910972031886e+00
1.123016511248625671e+00,3.233646203771650907e+00
8.582017324493877997e-01,4.617533444971489764e+00
1.192334666927215681e+00,4.660869758458457746e+00
1.424790202637218783e+00,6.698228595877020908e+00
6.938945676407584084e-01,2.137238640406052603e+00
1.265764773048752456e+00,5.669880922980519600e+00
1.108257580760580313e-01,-7.678709422731463397e-01
1.430569419409395415e+00,3.436307092108914496e+00
1.135642822911597127e+00,4.140719112732000440e+00
1.336573712485251919e+00,4.633174382397688973e+00
9.295979838475325607e-01,3.706326367717657000e+00
1.129668242303334846e+00,5.953908048381348017e+00
1.803688057153392199e+00,3.712205279417433168e+00
1.102829000905500623e+00,1.640161085076940806e+00
1.295859546351265212e+00,2.564949357461536739e+00
1.668093012578674372e+00,4.072439726834050866e+00
1.140127190366821086e+00,3.249754144513136822e+00
1.124122406924352280e+00,3.871201010907891149e+00
