GRB160712A   |704155|490046032.576| 2016-07-12T19:53:36.025560 |304.1645|-26.96461|1.311209|20.65454|44.528|6.373164|21.12|2.480826|-240|963|0.2402| rate trigger | Yes |    
GRB160709A   |703769|489786560| 2016-07-09T19:49:03.464 |235.9963|-28.18838|2.386009|8.783016|4.8|1.6|3.2|1.6|-2|8|0.1953| ground detected | No |    
GRB160705B   |703176|489445344| 2016-07-05T21:02:07.482980 |168.1058|46.70531|2.312175|9.185206|54.58|12.57402|28.152|11.1539|-239|963|0.7422| image trigger | Yes |    
GRB160703A   |702699|489240621.632| 2016-07-03T12:10:05.126360 |287.4137|36.91213|0.8111191|41.02017|45.008|3.024024|20.416|0.3917959|-802|963|0.8438| rate trigger | Yes |    
GRB160630A   |702252|488952266.432| 2016-06-30T04:04:09.942380 |198.2379|-56.02834|1.377153|19.25628|29.552|5.608428|10.752|2.282174|-239|963|0.5156| rate trigger | Yes |    
GRB160625A   |701503|488587247.936| 2016-06-25T22:40:31.466540 |176.939|-65.14191|0.7981971|41.97213|53.92|3.099135|31.952|0.7921312|-240|962|0.5703| rate trigger | Yes |    
GRB160624A   |701288|488460437.76| 2016-06-24T11:27:01.297540 |330.2145|29.6607|2.541281|8.025491|0.192|0.1431084|0.128|0.06400001|-240|602|1| rate trigger | Yes |    
GRB160623A   |  N/A | N/A | N/A | N/A |  N/A |    N/A    | N/A | N/A | N/A | N/A | N/A |         N/A        |         N/A       | N/A | ground detected during slew | Yes | No event data.  
GRB160612A   |31791037|487455183.816| 2016-06-12T20:12:47.409 |348.3639|-25.37446|1.727555|13.93115|0.248|0.04816639|0.09199995|0.0169706|-63|43| N/A | ground detected during slew | No |    
GRB160611A   |690598|487374050.816| 2016-06-11T21:40:34.413540 |164.414|-70.39784|1.181713|23.96238|35.124|6.0016|10.776|2.075333|-240|962|0.4531| rate trigger | Yes |    
GRB160607A   |689597|486990857.216| 2016-06-07T11:14:00.834700 |13.66172|-4.952807|0.414345|107.0888|33.492|0.4464437|8.492|0.2374532|-433|963|0.8438| rate trigger | Yes |    
GRB160601A   |688452|486484998.776| 2016-06-01T14:43:02.422720 |234.9245|64.52856|1.816023|12.97015|0.1199999|0.02262742|0.05599993|0.02000004|-240|962|0.6641| rate trigger | Yes |    
GRB160525B   |687522|485861123.968| 2016-05-25T09:25:07.649260 |149.4382|51.19676|2.182473|9.974835|0.2919999|0.04560698|0.112|0.0636553|-683|962|0.8125| rate trigger | Yes |    
GRB160525A   |687492|485832856| 2016-05-25T01:33:59.682820 |103.53|-0.173509|2.921457|6.57708| N/A | N/A | N/A | N/A |-239|963|0.9844| image trigger | No |    Tentative detection.
GRB160519A   |686818|485309869.824| 2016-05-19T00:17:33.535660 |71.12178|31.24514|2.200609|9.857603|35.616|6.069317|24.544|7.463979|-240|962|0.1973| rate trigger | No |    
GRB160506A   |685245|484198172.096| 2016-05-06T03:29:15.868860 |265.8492|-46.12509|1.596126|15.59633|260.528|78.31821|105.236|71.07852|-331|963|1.0156| rate trigger | Yes |    
GRB160504A   |685124|484083053.568| 2016-05-04T19:30:37.347200 |170.0758|55.99631|1.677113|14.53166|53.96|5.68137|28.076|5.862731|-240|963|0.8828| rate trigger | Yes |    
GRB160501A   |684679|483756048| 2016-05-01T00:40:31.797220 |286.3798|-17.24009|2.05958|10.83586| N/A | N/A | N/A | N/A |-407|963|0.8125| image trigger | Yes |    
GRB160425A   |684098|483319587.52| 2016-04-25T23:26:11.341240 |280.3395|-54.34308|3.465782|5.151975|304.596|15.02803|117.584|104.6581|-240|963|0.7188| rate trigger | Yes |    
GRB160424A   |683906|483191363.52| 2016-04-24T11:49:07.348300 |319.4846|-60.40811|1.130827|25.5175|6.464|0.9516974|1.984|0.3541751|-240|963|0.3359| rate trigger | Yes |    
GRB160419A   |683383|482771813.568| 2016-04-19T15:16:37.419400 |16.41858|-27.34106|1.021448|29.50886|9.416|1.587331|3.516|0.4386342|-240|963|0.1699| rate trigger | No |    
GRB160417A   |683076|482559837.184| 2016-04-17T04:23:41.047080 |120.2612|7.645777|1.884896|12.29846|14.552|2.317058|7.796|1.623083|-239|963|0.4141| rate trigger | Yes |    
