0.11	3.63E-09	1.15E-09	7.27E-09	1.43E-09	1.13E-08	2.33E-09	9.37E-09	0.000000003
66.41	7.05E-08	1.87E-08	0.000000144	2.19E-08	0.00000023	4.04E-08	0.000000194	5.52E-08
10.62	6.05E-08	8.56E-09	7.41E-08	8.44E-09	6.57E-08	1.41E-08	3.49E-08	1.13E-08
23.84	0.000000339	3.73E-08	0.00000102	4.47E-08	0.00000173	0.000000075	0.000000984	0.000000106
28.74	0.00000186	0.000000168	0.00000413	0.000000155	0.00000604	0.000000237	0.00000381	0.000000293
21.68	0.000000122	1.63E-08	0.000000184	0.000000016	0.000000207	2.83E-08	0.000000133	2.81E-08
158.43	0.00000135	0.000000146	0.00000287	0.000000136	0.00000426	0.000000211	0.00000294	0.000000275
95.57	0.000000759	5.37E-08	0.000000978	4.17E-08	0.00000092	6.18E-08	0.000000513	5.51E-08
151.74	0.000000278	3.74E-08	0.000000393	3.64E-08	0.000000411	6.47E-08	0.000000249	6.01E-08
29.44	0.000000904	3.47E-08	0.00000192	4.26E-08	0.00000321	5.93E-08	0.0000028	8.45E-08
33.3	0.000000948	7.26E-08	0.00000191	8.72E-08	0.00000298	0.000000119	0.00000247	0.000000154
4.79	2.21E-08	5.4E-09	3.39E-08	7.56E-09	1.07E-08	7.91E-09	3.51E-09	
64	0.000000596	6.87E-08	0.00000128	7.33E-08	0.00000164	0.000000108	0.000000829	0.000000156
26.46	3.25E-08	0.000000007	9.63E-08	0.000000012	0.000000232	2.03E-08	0.000000268	3.73E-08
6.62	0.000000197	0.000000025	0.000000133	2.15E-08	5.87E-08	2.01E-08	1.76E-08	9.05E-09
3.4	0.000000103	2.29E-08	0.000000279	2.67E-08	0.000000456	4.61E-08	0.000000272	6.78E-08
81.78	0.000000779	6.44E-08	0.00000143	5.72E-08	0.00000181	8.23E-08	0.00000109	0.000000128
11.04	2.13E-08	7.78E-09	3.69E-08	8.75E-09	0.000000049	1.66E-08	3.58E-08	1.86E-08
80	7.24E-08	1.48E-08	0.000000141	1.79E-08	0.000000212	3.29E-08	0.000000171	4.08E-08
16.62	6.97E-08	8.38E-09	0.000000121	9.24E-09	0.000000162	1.77E-08	0.000000118	0.00000002
58.88	0.0000003	0.00000004	0.000000588	4.77E-08	0.000000893	7.12E-08	0.000000725	8.92E-08
11.39	8.25E-08	9.61E-09	0.000000104	8.45E-09	9.65E-08	1.49E-08	0.000000053	1.27E-08
0.02	7.56E-10	3.06E-10	1.57E-09	4.22E-10	2.57E-09	8.03E-10	2.22E-09	0.000000001
8.84	0.0000022	9.78E-08	0.0000044	7.64E-08	0.00000555	8.82E-08	0.00000299	0.000000081
10.08	0.000000121	2.18E-08	0.000000143	1.98E-08	0.000000121	2.96E-08	6.18E-08	2.28E-08
22	0.000000663	5.44E-08	0.00000147	7.11E-08	0.00000257	0.000000112	0.00000233	0.000000161
48	0.000000125	1.76E-08	0.000000179	1.68E-08	0.00000019	2.97E-08	0.000000117	2.81E-08
30.4	0.000000224	1.73E-08	0.000000367	1.68E-08	0.000000457	2.89E-08	0.000000317	3.21E-08
51.61	0.000000146	2.53E-08	0.000000269	2.81E-08	0.000000382	4.94E-08	0.000000294	5.98E-08
94.91	0.000000703	0.00000005	0.00000127	5.23E-08	0.00000175	8.53E-08	0.00000132	0.000000104
122.03	0.00000055	7.74E-08	0.00000104	8.82E-08	0.00000153	0.000000142	0.0000012	0.000000175
46.87	0.000000169	3.69E-08	0.00000024	4.41E-08	0.000000109	0.000000057	4.66E-08	
49.62	0.000000211	2.12E-08	0.000000361	2.14E-08	0.000000468	3.96E-08	0.000000336	4.53E-08
69.02	0.000000624	6.13E-08	0.0000015	6.67E-08	0.0000024	0.000000107	0.00000163	0.000000169
77.84	0.000000668	3.94E-08	0.0000014	4.74E-08	0.0000023	6.88E-08	0.00000197	0.000000097
94.37	0.00000072	9.41E-08	0.00000105	8.44E-08	0.00000114	0.000000136	0.000000709	0.000000133
99.14	0.000000209	3.45E-08	0.000000297	3.02E-08	0.000000312	5.35E-08	0.00000019	5.15E-08
