GRB161202A 118.496 2.21964e-06 2.988289e-06 nan -1.38797 nan 39.5104
GRB161129A 35.544 9.023038e-07 1.245956e-06 nan -1.29361 nan 61.8766
GRB161117B 152.312 1.876762e-06 1.739679e-06 nan -0.638604 148.019 0.0753269
GRB161117A 125.7 5.971925e-06 6.729834e-06 0.1475 -1.25161 nan 18.2668
GRB161113A 43.464 4.250363e-07 5.061346e-07 nan -1.62694 nan 139.007
GRB161108A 115.836 3.075803e-07 3.569263e-07 <1.5 -1.32242 nan 142.578
GRB161105A 177.696 1.408175e-06 2.21155e-06 nan -1.40468 nan 243.36
GRB161104A 0.09999996 8.574682e-09 1.561593e-08 1.549 -1.38966 38.8517 0.00945456
GRB161022A 7.248 1.501313e-07 2.723273e-07 nan -1.2003 73.0521 0.0266722
GRB161017A 217.048 1.373944e-06 1.849393e-06 0.50(?) -1.70906 nan 355.529
GRB161014A 23.0 5.305468e-07 7.808071e-07 0.788(?) -1.31245 nan 65.1245
GRB161011A 4.276 4.587864e-08 8.464289e-08 nan -1.05194 nan 172.337
GRB161007A 157.692 3.18894e-07 4.653034e-07 nan -0.937747 nan 297.134
GRB161004B 15.72 2.165271e-06 3.122786e-06 nan 0.309463 nan 90.7828
GRB161004A 1.32 2.387692e-08 3.669766e-08 nan -1.57125 nan 9999.36
GRB161001A 2.6 1.338098e-07 2.54383e-07 2.013 -1.18223 nan 175.218
GRB160927A 0.4879999 2.813702e-08 5.152975e-08 nan -0.800409 nan 222.842
GRB160917A 14.52 2.104665e-07 4.519735e-07 nan -1.12975 nan 127.778
GRB160912A 207.308 8.749549e-07 1.294809e-06 nan -1.20855 177.046 0.0371636
GRB160905A 64.0 2.794589e-06 5.742461e-06 nan -1.39082 nan 9999.36
GRB160827A 14.048 1.218714e-07 1.108592e-07 nan -0.841266 nan 282.469
GRB160826A 52.616 1.226386e-07 1.680301e-07 nan -1.07629 nan 996.08
GRB160824A 99.332 6.576471e-07 8.568264e-07 nan -0.814983 nan 893.458
GRB160821B 0.48 3.335991e-08 3.627061e-08 2.823 -1.17698 nan 158.823
GRB160821A 112.636 1.811195e-06 2.502162e-06 nan -0.955654 nan 9999.36
GRB160819A 67.2 2.095404e-06 2.585996e-06 nan 0.24279 nan 35.6306
GRB160815A 8.568 3.995379e-07 4.834794e-07 nan -1.4418 nan 230.544
GRB160804A 152.744 3.285436e-06 3.576291e-06 0.891(?) -1.5978 nan 962.064
GRB160801A 2.852 4.998193e-08 5.552177e-08 nan -0.120241 nan 46.3175
GRB160726A 0.7279999 5.492449e-08 9.982429e-08 nan -1.46722 nan 390.041
GRB160716A 6.392 5.866283e-08 4.781598e-08 nan -1.48874 nan 133.047
GRB160714A 0.3479999 1.621709e-08 2.442885e-08 nan -0.961261 67.7279 0.0330991
GRB160712A 44.528 5.386864e-07 9.562603e-07 nan -1.4147 64.2334 0.00933167
GRB160709A 4.8 9.016358e-08 1.675642e-07 nan -1.00238 nan 51.3105
GRB160705B 54.58 2.009204e-07 2.378998e-07 nan -0.960741 nan 333.08
GRB160703A 45.008 2.028438e-06 3.232524e-06 0.16 -2.37759 nan 184.185
GRB160630A 29.552 2.833587e-07 4.54419e-07 nan -0.984432 nan 129.088
GRB160625A 53.92 1.019137e-06 9.603786e-07 nan -1.12052 nan 971.969
GRB160624A 0.192 4.815928e-09 1.529466e-08 0.736 -0.658941 nan 184.085
GRB160623A nan nan nan nan -1.77398 nan 9999.36
GRB160612A 0.248 1.453643e-08 3.546157e-08 nan -1.32494 nan 9999.36
GRB160611A 35.124 4.757802e-07 5.955473e-07 nan -1.16662 nan 297.286
GRB160607A 33.492 4.812934e-06 7.455039e-06 nan -1.91665 nan 22.7086
GRB160601A 0.1199999 1.179404e-08 2.397135e-08 nan -0.358708 nan 9999.36
GRB160525B 0.2919999 9.15434e-09 9.821482e-09 nan nan nan nan
GRB160525A nan 6.367955e-08 4.147725e-08 nan -0.705769 nan 9999.32
GRB160519A 35.616 3.485977e-07 3.556023e-07 nan -1.53162 nan 160.014
GRB160506A 260.528 4.749359e-07 4.364304e-07 nan -1.14498 nan 247.05
GRB160504A 53.96 2.173069e-07 2.520771e-07 nan -0.573237 nan 209.369
GRB160501A nan 1.967162e-07 1.622221e-07 nan -0.60159 nan 45.001
GRB160425A 304.596 6.34201e-07 5.610958e-07 <~1.5 0.928429 nan 25.2953
GRB160424A 6.464 2.92705e-07 4.435373e-07 nan -1.51462 nan 45.7541
GRB160419A 9.416 8.442052e-07 1.356651e-06 nan -1.99381 nan 2.95585
