GRB140211A nan             
GRB140209A nan             
GRB140206A 1.416             
GRB140129B nan             
GRB140129A nan             
GRB140118A nan             
GRB140114A 1.2076             
GRB140108A nan             
GRB140103A nan             
GRB140102A nan             
GRB131229A nan             
GRB131227A 2.73             
GRB131226A nan             
GRB131224B nan             
GRB131205A nan             
GRB131202A nan             
GRB131128A nan             
GRB131127A nan             
GRB131120A nan             
GRB131117A 3             
GRB131110A nan             
GRB131105A 5.3(?)             
GRB131103A 4.042             
GRB131031A nan             
GRB131030A 1.686             
GRB131024B nan             
GRB131024A nan             
GRB131018A nan             
GRB131004A 0.5955             
GRB131002B nan             
GRB131002A nan             
GRB131001A nan             
GRB130929A nan             
GRB130925A 1.293             
GRB130919A nan             
GRB130913A nan             
GRB130912A nan             
GRB130907A 0.717             
GRB130831B nan             
GRB130831A 0.348             
GRB130829A nan             
GRB130822A nan             
GRB130816B nan             
GRB130816A nan             
GRB130812A nan             
GRB130807A nan             
GRB130806A nan             
GRB130803A nan             
GRB130727A nan             
GRB130725B nan             
GRB130725A nan             
GRB130722A nan             
GRB130719A nan             
GRB130716A nan             
GRB130708A nan             
GRB130701A 1.238             
GRB130627B nan             
GRB130627A nan             
GRB130626A nan             
GRB130625A nan             
GRB130623A nan             
GRB130615A nan             
GRB130612A 0.4791             
GRB130610A 1.155             
GRB130609B nan             
GRB130609A nan             
GRB130608A nan             
GRB130606A 2.006             
GRB130605A nan             
GRB130604A 2.092             
GRB130603B 5.9134             
GRB130603A nan             
GRB130529A nan             
GRB130528A 1.06             
GRB130527A nan             
GRB130521A nan             
GRB130518B nan             
GRB130518A 0.3565             
GRB130515A nan             
GRB130514A 1.25             
GRB130511A 2.488             
GRB130508A nan             
GRB130505A 3.6             
GRB130504A nan             
GRB130502A nan             
GRB130427B 1.3033             
GRB130427A 2.27             
GRB130420B nan             
GRB130420A 2.78             
GRB130419A nan             
GRB130418A 0.3399             
GRB130408A 1.297             
GRB130327A nan             
GRB130315A nan             
GRB130313A nan             
GRB130306A nan             
GRB130305A nan             
GRB130216A nan             
GRB130216B nan             
GRB130215A 1.218             
GRB130211A nan             
GRB130206A nan             
GRB130131B 3.758             
GRB130131A nan             
GRB130122A nan             
GRB130102A nan             
GRB121229A 0.597             
GRB121226A nan             
GRB121217A 2.539             
GRB121212A nan             
GRB121211A 2.707             
GRB121209A 3.1             
GRB121202A nan             
GRB121201A 1.023             
GRB121128A 2.1             
GRB121125A nan             
GRB121123A nan             
GRB121117A nan             
GRB121108A nan             
GRB121102A nan             
GRB121031A nan             
GRB121028A nan             
GRB121027A 3.385             
GRB121024A 2.2             
GRB121017A nan             
GRB121014A nan             
GRB121011A nan             
GRB121001A nan             
GRB120927A nan             
GRB120923A 1.773             
GRB120922A 2.298             
GRB120918A nan             
GRB120913B nan             
GRB120913A nan             
GRB120911A nan             
GRB120909A 8.5             
GRB120907A 3.1             
GRB120819A nan             
GRB120817B nan             
GRB120817A nan             
GRB120816A nan             
GRB120815A 3.93             
GRB120811C 0.97             
GRB120811A nan             
GRB120807A nan             
GRB120805A 2.3586             
GRB120804A 2.671             
GRB120803B nan             
GRB120803A nan             
GRB120802A 3.1             
GRB120729A 1.3             
GRB120728A nan             
GRB120724A 3.796             
GRB120722A 0.8             
GRB120714B 1.48             
GRB120714A nan             
GRB120712A 0.9586             
GRB120711B nan             
GRB120703A nan             
GRB120701A nan             
GRB120630A nan             
