GRB161007A   |    716127    | -1.129750e+00 | -1.608220e+00 | -3.018800e-01 | 1.277780e+02 | 6.520920e+01 | 0.000000e+00 | 8.434500e-04 | 4.876030e-04 | 2.285080e-03 | 58.12 | 56 | 1.038 | 3.971623e-01 | 50.0000 | 243 | 18.224000 | 261.184000 |  
GRB161004B   |    715246    | -1.208550e+00 | -1.336400e+00 | -1.077130e+00 | 1.770460e+02 | 1.376080e+02 | 2.832560e+02 | 3.716360e-02 | 3.286940e-02 | 4.215120e-02 | 34.99 | 56 | 0.6248 | 9.875396e-01 | 50.0000 | 32.47 | -5.160000 | 27.308000 |  
GRB161004A   |    715084    | -1.390820e+00 | -2.483000e+00 | -1.119770e+00 | 9.999360e+03 | N/A | N/A | 7.472000e-03 | N/A | N/A | 73.38 | 56 | 1.310 | 5.948636e-02 | 50.0000 | 1.42 | -0.108000 | 1.312000 |  
GRB161001A   |    714404    | -8.412660e-01 | -1.111860e+00 | -4.753850e-01 | 2.824690e+02 | 0.000000e+00 | 0.000000e+00 | 2.505060e-02 | 1.908310e-02 | 3.617000e-02 | 55.10 | 56 | 0.9839 | 5.089405e-01 | 50.0000 | 3.32 | -0.216000 | 3.104000 |  
GRB160927A   |    713782    | -1.076290e+00 | -1.383830e+00 | -2.990150e-01 | 9.960800e+02 | 0.000000e+00 | 0.000000e+00 | 2.548280e-02 | N/A | N/A | 36.10 | 56 | 0.6446 | 9.821455e-01 | 50.0000 | 0.56 | 0.000000 | 0.560000 |  
GRB160917A   |    712505    | -8.149830e-01 | -1.034250e+00 | -1.989690e-01 | 8.934580e+02 | 0.000000e+00 | 0.000000e+00 | 7.510620e-03 | 6.544790e-03 | 1.309710e-02 | 67.72 | 56 | 1.209 | 1.355583e-01 | 50.0000 | 15.61 | -0.300000 | 15.308000 |  
GRB160912A   |    711914    | -1.176980e+00 | -1.486510e+00 | -7.208240e-01 | 1.588230e+02 | 8.680400e+01 | 0.000000e+00 | 2.102330e-03 | 1.492430e-03 | 3.520080e-03 | 35.71 | 56 | 0.6377 | 9.841947e-01 | 50.0000 | 244.2 | -33.112000 | 211.088000 |  
GRB160905A   |    711084    | -9.556540e-01 | -9.840870e-01 | -9.240800e-01 | 9.999360e+03 | 0.000000e+00 | 0.000000e+00 | 1.266850e-02 | 1.248780e-02 | 1.387810e-02 | 41.02 | 56 | 0.7326 | 9.333062e-01 | 50.0000 | 112 | -15.200000 | 96.800000 |  
GRB160827A   |    710050    | 2.427900e-01 | -1.498080e+00 | 2.818850e+00 | 3.563060e+01 | 2.468810e+01 | 4.402550e+01 | 5.922310e-02 | 0.000000e+00 | 2.327350e+00 | 49.82 | 56 | 0.8896 | 7.066803e-01 | 50.0000 | 19.84 | -8.952000 | 10.888000 |  
GRB160826A   |    709907    | -1.441800e+00 | -2.701230e+00 | -2.883660e-01 | 2.305440e+02 | 0.000000e+00 | 0.000000e+00 | 1.012390e-03 | 7.393240e-04 | 4.092210e-03 | 71.94 | 56 | 1.285 | 7.421404e-02 | 50.0000 | 57.76 | 3.848000 | 61.608000 |  
GRB160824A   |    709765    | -1.597800e+00 | -1.726300e+00 | -1.278450e+00 | 9.620640e+02 | 0.000000e+00 | 0.000000e+00 | 2.461990e-03 | 2.262640e-03 | 2.546180e-03 | 65.09 | 56 | 1.162 | 1.897648e-01 | 50.0000 | 112.2 | -0.660000 | 111.576000 |  
GRB160821B   |    709357    | -1.202410e-01 | -9.294110e-01 | 8.379480e-01 | 4.631750e+01 | 4.093480e+01 | 5.379610e+01 | 2.267020e-01 | 0.000000e+00 | 7.735700e-01 | 59.05 | 56 | 1.054 | 3.647848e-01 | 50.0000 | 0.536 | 0.000000 | 0.536000 |  
GRB160821A   |    709351    | -1.467220e+00 | -1.569740e+00 | -1.264730e+00 | 3.900410e+02 | 0.000000e+00 | 0.000000e+00 | 6.966870e-03 | 6.314500e-03 | 8.524340e-03 | 59.10 | 56 | 1.055 | 3.631586e-01 | 50.0000 | 117.8 | -2.612000 | 115.168000 |  
GRB160819A   |  00086022006 | -1.488740e+00 | -1.691650e+00 | -1.276420e+00 | 1.330470e+02 | 9.170450e+01 | 9.972560e+02 | 2.226180e-02 | 1.802530e-02 | 2.779880e-02 | 45.77 | 56 | 0.8173 | 8.336603e-01 | 50.0000 | 47 | 26.600000 | 73.600000 |  
GRB160815A   |    708598    | -9.612610e-01 | -1.356100e+00 | -5.271940e-01 | 6.772790e+01 | 5.805180e+01 | 8.939840e+01 | 3.309910e-02 | 2.114070e-02 | 5.423590e-02 | 48.20 | 56 | 0.8607 | 7.613327e-01 | 50.0000 | 11.6 | -6.408000 | 5.196000 |  
GRB160804A   |    707231    | -1.414700e+00 | -1.626290e+00 | -1.192590e+00 | 6.423340e+01 | 5.702570e+01 | 7.802030e+01 | 9.331670e-03 | 7.407210e-03 | 1.190840e-02 | 55.87 | 56 | 0.9976 | 4.798245e-01 | 50.0000 | 222 | 25.140000 | 247.148000 |  
GRB160801A   |    706871    | -1.002380e+00 | -1.914460e+00 | 1.339440e-01 | 5.131050e+01 | 3.706600e+01 | 0.000000e+00 | 1.794010e-02 | 0.000000e+00 | 7.881720e-02 | 54.39 | 56 | 0.9712 | 5.361500e-01 | 50.0000 | 3.172 | -1.344000 | 1.828000 |  
GRB160726A   |    706052    | -9.607410e-01 | -1.207460e+00 | -4.290960e-01 | 3.330800e+02 | 0.000000e+00 | 0.000000e+00 | 4.040080e-02 | 3.125440e-02 | 6.908320e-02 | 57.60 | 56 | 1.029 | 4.158373e-01 | 50.0000 | 0.784 | 0.004000 | 0.788000 |  
GRB160716A   |    704572    | -2.377590e+00 | -2.759730e+00 | -8.958580e-01 | 1.841850e+02 | N/A | N/A | 2.370280e-03 | N/A | N/A | 55.18 | 56 | 0.9854 | 5.058794e-01 | 50.0000 | 7.16 | -0.432000 | 6.728000 |  
GRB160714A   |    704310    | -9.844320e-01 | -3.124720e+00 | 8.506280e-01 | 1.290880e+02 | 0.000000e+00 | 0.000000e+00 | 3.053240e-02 | 1.534900e-02 | 2.180360e-01 | 61.92 | 56 | 1.106 | 2.730717e-01 | 50.0000 | 0.372 | 0.028000 | 0.400000 |  
