GRB160917A   |    712505    | -8.973370e-01 | -1.048180e+00 | -7.395800e-01 | 6.946270e-03 | 6.307950e-03 | 7.574620e-03 | 67.78 | 57 | 1.189 | 1.552826e-01 | 50.0000 | 15.61 | -0.300000 | 15.308000 |  
GRB160912A   |    711914    | -1.434570e+00 | -1.543550e+00 | -1.326120e+00 | 1.559890e-03 | 1.466230e-03 | 1.653210e-03 | 36.82 | 57 | 0.6459 | 9.825965e-01 | 50.0000 | 244.2 | -33.112000 | 211.088000 |  
GRB160905A   |    711084    | -9.609980e-01 | -9.904500e-01 | -9.313930e-01 | 1.260880e-02 | 1.239960e-02 | 1.281710e-02 | 40.95 | 57 | 0.7185 | 9.461659e-01 | 50.0000 | 112 | -15.200000 | 96.800000 |  
GRB160827A   |    710050    | -2.136670e+00 | -2.443830e+00 | -1.858990e+00 | 2.109280e-03 | 1.650410e-03 | 2.556930e-03 | 55.78 | 57 | 0.9786 | 5.209822e-01 | 50.0000 | 19.84 | -8.952000 | 10.888000 |  
GRB160826A   |    709907    | -1.545730e+00 | -1.837700e+00 | -1.260040e+00 | 8.914530e-04 | 7.370120e-04 | 1.042890e-03 | 71.96 | 57 | 1.262 | 8.756865e-02 | 50.0000 | 57.76 | 3.848000 | 61.608000 |  
GRB160824A   |    709765    | -1.618370e+00 | -1.726500e+00 | -1.511000e+00 | 2.402690e-03 | 2.257970e-03 | 2.546640e-03 | 65.03 | 57 | 1.141 | 2.173815e-01 | 50.0000 | 112.2 | -0.660000 | 111.576000 |  
GRB160821B   |    709357    | -1.879360e+00 | -2.031390e+00 | -1.733360e+00 | 2.336730e-02 | 2.092020e-02 | 2.578110e-02 | 75.30 | 57 | 1.321 | 5.263330e-02 | 50.0000 | 0.536 | 0.000000 | 0.536000 |  
GRB160821A   |    709351    | -1.533830e+00 | -1.591800e+00 | -1.476000e+00 | 6.480710e-03 | 6.287290e-03 | 6.673980e-03 | 58.89 | 57 | 1.033 | 4.061254e-01 | 50.0000 | 117.8 | -2.612000 | 115.168000 |  
GRB160819A   |  00086022006 | -1.696570e+00 | -1.749140e+00 | -1.644130e+00 | 1.780570e-02 | 1.730150e-02 | 1.830970e-02 | 48.82 | 57 | 0.8566 | 7.710943e-01 | 50.0000 | 47 | 26.600000 | 73.600000 |  
GRB160815A   |    708598    | -1.724910e+00 | -1.817210e+00 | -1.633830e+00 | 1.362580e-02 | 1.287040e-02 | 1.437810e-02 | 60.00 | 57 | 1.053 | 3.675722e-01 | 50.0000 | 11.6 | -6.408000 | 5.196000 |  
GRB160804A   |    707231    | -1.877650e+00 | -1.928030e+00 | -1.827580e+00 | 5.559510e-03 | 5.411960e-03 | 5.706830e-03 | 70.56 | 57 | 1.238 | 1.070007e-01 | 50.0000 | 222 | 25.140000 | 247.148000 |  
GRB160801A   |    706871    | -1.848450e+00 | -2.073770e+00 | -1.635450e+00 | 5.978740e-03 | 5.088780e-03 | 6.848140e-03 | 56.84 | 57 | 0.9971 | 4.812263e-01 | 50.0000 | 3.172 | -1.344000 | 1.828000 |  
GRB160726A   |    706052    | -1.138100e+00 | -1.273950e+00 | -1.000550e+00 | 3.351730e-02 | 3.082980e-02 | 3.620230e-02 | 57.99 | 57 | 1.017 | 4.387337e-01 | 50.0000 | 0.784 | 0.004000 | 0.788000 |  
GRB160716A   |    704572    | -2.295000e+00 | -2.616060e+00 | -2.008350e+00 | 2.659420e-03 | 2.076520e-03 | 3.223950e-03 | 55.19 | 57 | 0.9683 | 5.430970e-01 | 50.0000 | 7.16 | -0.432000 | 6.728000 |  
GRB160714A   |    704310    | -1.408970e+00 | -1.773570e+00 | -1.041750e+00 | 1.913740e-02 | 1.503040e-02 | 2.324210e-02 | 62.19 | 57 | 1.091 | 2.966126e-01 | 50.0000 | 0.372 | 0.028000 | 0.400000 |  
GRB160712A   |    704155    | -1.172070e+00 | -1.299200e+00 | -1.042700e+00 | 4.716940e-03 | 4.387850e-03 | 5.044950e-03 | 62.96 | 57 | 1.105 | 2.735888e-01 | 50.0000 | 54.06 | -8.600000 | 45.464000 |  
GRB160709A   |    703769    | -1.105930e+00 | -1.376570e+00 | -8.235320e-01 | 9.077380e-03 | 7.672160e-03 | 1.046700e-02 | 43.91 | 57 | 0.7703 | 8.982000e-01 | 50.0000 | 4.8 | 0.000000 | 4.800000 |  
