GRB161202A 118.496 2.219640e-06 2.988289e-06
GRB161129A 35.544 9.023038e-07 1.245956e-06
GRB161117B 152.312 1.876762e-06 1.739679e-06
GRB161117A 125.7 5.971925e-06 6.729834e-06
GRB161113A 43.464 4.250363e-07 5.061346e-07
GRB161108A 115.836 3.075803e-07 3.569263e-07
GRB161105A 177.696 1.408175e-06 2.211550e-06
GRB161104A 0.09999996 8.574682e-09 1.561593e-08
GRB161022A 7.248 1.501313e-07 2.723273e-07
GRB161017A 217.048 1.373944e-06 1.849393e-06
GRB161014A 23.0 5.305468e-07 7.808071e-07
GRB161011A 4.276 4.587864e-08 8.464289e-08
GRB161007A 157.692 3.188940e-07 4.653034e-07
GRB161004B 15.72 2.165271e-06 3.122786e-06
GRB161004A 1.32 2.387692e-08 3.669766e-08
GRB161001A 2.6 1.338098e-07 2.543830e-07
GRB160927A 0.4879999 2.813702e-08 5.152975e-08
GRB160917A 14.52 2.104665e-07 4.519735e-07
GRB160912A 207.308 8.749549e-07 1.294809e-06
GRB160905A 64.0 2.794589e-06 5.742461e-06
GRB160827A 14.048 1.218714e-07 1.108592e-07
GRB160826A 52.616 1.226386e-07 1.680301e-07
GRB160824A 99.332 6.576471e-07 8.568264e-07
GRB160821B 0.48 3.335991e-08 3.627061e-08
GRB160821A 112.636 1.811195e-06 2.502162e-06
GRB160819A 67.2 2.095404e-06 2.585996e-06
GRB160815A 8.568 3.995379e-07 4.834794e-07
GRB160804A 152.744 3.285436e-06 3.576291e-06
GRB160801A 2.852 4.998193e-08 5.552177e-08
GRB160726A 0.7279999 5.492449e-08 9.982429e-08
GRB160716A 6.392 5.866283e-08 4.781598e-08
GRB160714A 0.3479999 1.621709e-08 2.442885e-08
GRB160712A 44.528 5.386864e-07 9.562603e-07
GRB160709A 4.8 9.016358e-08 1.675642e-07
GRB160705B 54.58 2.009204e-07 2.378998e-07
GRB160703A 45.008 2.028438e-06 3.232524e-06
GRB160630A 29.552 2.833587e-07 4.544190e-07
GRB160625A 53.92 1.019137e-06 9.603786e-07
GRB160624A 0.192 4.815928e-09 1.529466e-08
GRB160623A nan nan nan
GRB160612A 0.248 1.453643e-08 3.546157e-08
GRB160611A 35.124 4.757802e-07 5.955473e-07
GRB160607A 33.492 4.812934e-06 7.455039e-06
GRB160601A 0.1199999 1.179404e-08 2.397135e-08
GRB160525B 0.2919999 9.154340e-09 9.821482e-09
GRB160525A nan 6.367955e-08 4.147725e-08
GRB160519A 35.616 3.485977e-07 3.556023e-07
GRB160506A 260.528 4.749359e-07 4.364304e-07
GRB160504A 53.96 2.173069e-07 2.520771e-07
GRB160501A nan 1.967162e-07 1.622221e-07
GRB160425A 304.596 6.342010e-07 5.610958e-07
GRB160424A 6.464 2.927050e-07 4.435373e-07
GRB160419A 9.416 8.442052e-07 1.356651e-06
GRB160417A 14.552 1.753770e-07 1.846215e-07
GRB160412A 32.18 5.618038e-07 6.110613e-07
GRB160411A 0.3559999 1.848784e-08 2.782314e-08
GRB160410A 96.0 2.284442e-07 4.244730e-07
GRB160409A 48.0 nan nan
GRB160408A 0.3199999 2.713501e-08 5.945250e-08
GRB160327A 33.744 3.895486e-07 4.361357e-07
GRB160325A 61.724 1.554583e-06 2.577948e-06
GRB160321A 33.476 1.561000e-07 1.686719e-07
GRB160314A 8.732 6.905080e-08 9.575437e-08
GRB160313A 41.536 1.331903e-07 2.158154e-07
GRB160303A 4.976 2.829546e-08 5.460301e-08
GRB160228A 98.908 4.306170e-07 6.990709e-07
GRB160227A 316.348 8.451932e-07 1.155569e-06
GRB160225A 157.456 4.032755e-07 5.441163e-07
