GRB150430A -1.03462 nan 158.704
GRB150428B -0.964588 58.2952 0.00703194
GRB150428A -1.2107 nan 602.376
GRB150424A -1.12194 nan 983.671
GRB150423A 0.443048 nan 120.501
GRB150413A -1.48436 nan 128.41
GRB150407A nan nan nan
GRB150403A -1.097 nan 444.655
GRB150402A -1.88872 nan 10.2078
GRB150323C -0.038937 nan 43.2496
GRB150323B -1.4542 nan 397.397
GRB150323A -1.61299 nan 154.878
GRB150318A -1.52868 nan 36.2999
GRB150317A -1.50914 nan 9999.32
GRB150314A -0.998341 nan 764.681
GRB150309A -1.04668 156.263 0.00825609
GRB150302A -0.934219 nan 60.3538
GRB150301B -1.3511 nan 305.91
GRB150301A -1.43637 nan 9999.35
GRB150222A -1.27787 nan 110.361
GRB150213B -0.645486 nan 53.6203
GRB150212A -1.28219 nan 171.848
GRB150211A -0.620281 nan 119.788
GRB150206A -1.16078 nan 275.321
GRB150204A -1.54912 nan 367.607
GRB150203A -1.61104 nan 89.6103
GRB150202A -1.46957 nan 9999.35
GRB150201A -0.976336 nan 27.3386
GRB150120B -2.22079 nan 10000.0
GRB150120A -1.81367 nan 9999.36
GRB150110B -1.29384 nan 51.654
GRB150103A 0.0324951 nan 54.2377
GRB150101B -1.0 nan 80.0
GRB150101A -1.0 nan 80.0
GRB141229A nan nan nan
GRB141225A -1.23021 nan 999.974
GRB141221A -1.25574 nan 72.839
GRB141220A -0.614702 116.098 0.0652679
GRB141212B -1.0645 nan 121.704
GRB141212A -1.14621 nan 94.8648
GRB141205A 3.31155 nan 54.1726
GRB141130A -1.2949 nan 129.045
GRB141121A -1.42906 nan 79.0396
GRB141109B -1.93907 nan 10.2198
GRB141109A -1.45625 nan 512.002
GRB141102A nan nan nan
GRB141031B -1.36912 nan 9999.36
GRB141031A -1.25237 nan 939.147
GRB141026A -1.99196 nan 0.922985
GRB141022A -0.81186 nan 128.377
GRB141020A -1.31929 nan 59.751
GRB141017A -1.02753 94.0828 0.008952
GRB141015A -1.6347 nan 66.8624
GRB141005A -0.869878 nan 166.7
GRB141004A -1.47992 nan 64.3615
GRB140930B -0.546803 nan 996.861
GRB140927A -1.82151 nan 9999.27
GRB140919A -1.25169 nan 86.2332
GRB140916A -1.12917 nan 36.9544
GRB140909A nan nan nan
GRB140907A -1.42189 nan 129.6
GRB140903A -1.36142 nan 44.1689
GRB140901B -0.685525 nan 142.328
GRB140828A -0.795098 59.7894 0.0201133
GRB140824A -2.03091 nan 29.7964
GRB140818B -1.75691 nan 163.936
GRB140817A -1.45708 nan 2602.84
GRB140730A -1.67741 nan 16.2477
GRB140719B -1.02636 nan 66.5181
GRB140719A -0.864242 nan 53.7957
GRB140716A-2 -1.43238 nan 116.701
GRB140716A-1 -1.45522 nan 82.1216
GRB140713A -1.81641 nan 296.903
GRB140710A -0.963825 nan 39.5551
GRB140709B -0.838804 nan 162.081
GRB140709A -1.28409 103.83 0.00676014
GRB140706A -1.42796 nan 84.7167
GRB140703A -1.70203 nan 9998.99
GRB140629A -1.33408 nan 60.9244
GRB140628A -1.14717 nan 100.068
GRB140626A -0.617218 nan 45.6669
GRB140622A 1.23012 nan 44.2382
GRB140619A -1.52774 nan 919.773
GRB140614B -0.94605 nan 38.7575
GRB140614A -1.42432 nan 389.691
GRB140611A nan nan nan
GRB140610A -1.34655 nan 152.917
GRB140607A -1.71607 nan 514.469
GRB140606A 1.06455 nan 134.245
GRB140529A -1.30829 nan 60.0437
GRB140521A -1.39199 nan 864.512
GRB140518A -0.976957 47.922 0.00647742
GRB140516A 0.488963 nan 44.5679
GRB140515A -0.984097 56.3679 0.00776229
GRB140512A -1.29231 nan 982.496
GRB140509A -1.2377 nan 107.727
GRB140506A -1.44947 nan 271.007
GRB140502A -1.22732 nan 9999.36
