105 5.184 0.181 86.850e-08 10.887e-09 13.209e-07 14.368e-09 20.468e-07 17.931e-08 10.321e-07 17.931e-08 12.761 0.544 3.840 11.857 0.265 3.840 9.937 0.123 4.160
107 208.576 1.118 55.032e-09 98.234e-10 56.918e-09 10.321e-09 59.237e-09 20.034e-09 76.854e-09 54.990e-08 0.408 0.217 -0.448 0.299 0.108 -0.256 0.200 0.053 0.128
108 3.136 0.590 82.861e-10 60.599e-10 14.947e-09 52.203e-10 31.987e-09 12.363e-09 14.604e-07 42.317e-08 0.812 0.238 0.000 0.439 0.107 0.128 0.112 0.048 0.768
109 90.176 0.286 44.255e-07 39.649e-09 73.080e-07 49.525e-09 17.653e-06 12.098e-08 29.537e-06 90.307e-08 3.777 0.354 34.368 3.620 0.173 34.560 3.350 0.084 35.072
110 430.016 1.094 45.034e-08 36.621e-09 46.726e-08 40.653e-09 17.766e-07 14.014e-08 40.053e-08 70.827e-08 0.475 0.218 0.000 0.478 0.107 0.192 0.367 0.052 0.320
111 98.176 2.262 11.110e-07 33.433e-09 18.851e-07 45.079e-09 20.220e-07 88.778e-09 0.000 43.962e-08 0.774 0.257 2.624 0.649 0.124 2.816 0.589 0.061 2.880
114 381.248 10.192 65.931e-08 59.408e-09 70.190e-08 75.803e-09 72.099e-08 15.653e-08 0.000 12.035e-07 0.740 0.251 -0.128 0.722 0.122 -0.128 0.516 0.059 0.576
121 75.008 1.280 24.987e-07 39.769e-09 26.381e-07 36.622e-09 47.813e-07 10.211e-08 72.660e-07 11.075e-07 1.793 0.270 53.888 1.496 0.136 1.984 1.128 0.063 2.304
130 61.952 0.500 31.859e-07 30.566e-09 48.850e-07 37.336e-09 13.484e-06 10.646e-08 17.184e-06 79.320e-08 3.926 0.369 12.096 3.468 0.178 12.160 2.816 0.083 12.224
133 182.016 0.916 74.327e-08 41.611e-09 74.700e-08 44.329e-09 24.223e-07 11.826e-08 18.328e-07 81.751e-08 0.808 0.242 144.832 0.659 0.118 143.936 0.607 0.059 144.448
138 0.315 0.023 67.073e-10 22.032e-10 17.829e-09 30.396e-10 58.935e-09 74.537e-10 52.760e-09 63.551e-09 1.107 0.253 0.256 0.722 0.114 0.320 0.364 0.052 0.320
143 50.816 0.202 57.236e-07 34.374e-09 75.901e-07 43.080e-09 45.620e-06 13.972e-08 23.324e-05 12.379e-07 52.008 1.426 1.280 47.569 0.682 1.344 37.634 0.301 2.880
148 454.016 6.147 63.097e-08 17.111e-09 64.312e-08 14.973e-09 81.738e-08 37.501e-09 70.846e-10 21.302e-08 1.442 0.256 2.304 1.404 0.126 2.496 1.267 0.062 2.816
160 17.024 1.374 51.678e-08 19.274e-09 83.949e-08 17.863e-09 30.642e-07 53.497e-09 43.976e-08 22.696e-08 4.210 0.411 13.952 3.000 0.188 15.744 2.584 0.089 13.952
171 24.768 4.401 43.360e-08 32.945e-09 44.697e-08 27.846e-09 78.429e-08 51.413e-09 17.973e-08 25.061e-08 1.077 0.329 0.704 0.646 0.157 0.768 0.602 0.078 1.472
179 7.232 0.181 25.648e-08 77.966e-10 27.782e-08 97.845e-10 50.439e-08 19.354e-09 75.724e-09 13.397e-08 5.249 0.369 1.984 4.736 0.178 2.048 2.500 0.071 2.304
185 0.132 0.077 85.668e-10 13.707e-10 85.117e-10 14.340e-10 33.879e-09 51.329e-10 0.000 64.211e-09 1.583 0.266 0.000 0.729 0.117 0.128 0.165 0.052 0.768
204 62.656 1.548 14.705e-09 65.476e-10 55.198e-09 82.568e-10 53.717e-08 22.567e-09 14.911e-07 22.728e-08 0.708 0.233 1.152 0.674 0.114 1.024 0.513 0.056 1.344
207 0.085 0.003 40.862e-10 18.969e-10 84.507e-10 21.974e-10 58.126e-09 60.817e-10 33.352e-08 11.754e-08 2.836 0.371 0.000 1.025 0.151 0.128 0.198 0.067 0.768
211 292.736 1.280 36.627e-08 25.008e-09 39.705e-08 27.062e-09 75.491e-08 53.728e-09 0.000 43.362e-08 0.700 0.242 2.176 0.507 0.116 2.240 0.466 0.057 2.944
214 45.696 4.524 40.552e-08 22.523e-09 44.031e-08 21.646e-09 41.376e-08 54.889e-09 0.000 30.986e-08 0.982 0.251 0.000 0.752 0.121 12.480 0.649 0.060 12.544
218 1.173 0.069 11.181e-09 55.120e-10 35.093e-09 64.808e-10 12.263e-08 13.115e-09 34.937e-08 12.767e-08 0.978 0.246 0.512 0.868 0.120 -0.128 0.665 0.057 0.320
219 29.696 1.414 30.342e-07 53.143e-09 42.219e-07 40.734e-09 10.534e-06 87.486e-09 14.797e-06 72.386e-08 20.133 0.637 115.200 18.063 0.302 115.264 13.069 0.130 115.328
222 73.088 0.466 78.081e-08 23.233e-09 10.401e-07 25.256e-09 27.646e-07 68.917e-09 25.434e-07 51.180e-08 4.538 0.364 68.544 3.990 0.174 68.672 3.005 0.080 68.736
223 29.184 1.243 51.747e-09 11.111e-09 64.875e-09 14.638e-09 16.753e-08 33.177e-09 0.000 20.308e-08 0.633 0.241 -0.384 0.457 0.117 0.000 0.374 0.057 0.576
226 221.184 0.466 21.662e-07 42.974e-09 32.057e-07 34.072e-09 94.294e-07 83.599e-09 24.648e-06 13.041e-07 1.307 0.238 47.232 1.298 0.118 30.400 1.090 0.058 47.232
228 12.352 2.695 13.305e-08 11.620e-09 12.437e-08 11.291e-09 17.675e-08 28.765e-09 47.203e-09 15.926e-08 1.332 0.265 0.000 1.054 0.129 0.128 0.817 0.062 0.704
229 0.448 0.091 44.308e-10 17.163e-10 11.202e-09 24.303e-10 54.209e-09 72.257e-10 66.156e-09 69.113e-09 1.085 0.220 0.000 0.674 0.102 0.192 0.288 0.045 0.448
235 26.432 3.057 15.130e-08 16.989e-09 21.635e-08 18.120e-09 97.628e-08 65.089e-09 16.195e-07 35.283e-08 0.719 0.244 1.536 0.552 0.121 1.664 0.405 0.058 2.432
237 40.512 3.529 67.389e-09 12.327e-09 82.897e-09 14.072e-09 38.104e-08 27.795e-09 38.164e-08 29.550e-08 0.967 0.252 -0.128 0.825 0.123 -0.064 0.639 0.061 0.768
249 28.544 0.854 64.429e-07 36.007e-09 12.132e-06 37.487e-09 42.087e-06 85.406e-09 89.605e-06 53.710e-08 35.696 0.814 21.312 34.621 0.403 21.376 31.660 0.190 22.080
