5589 0.000000995 5.4881E-08 8.783E-07 3.8457E-08
1.3257E-06 1.0092E-07 0 0.00000049 
0.7723 0.1723 108.288  
0.7052 0.0859 108.48  
0.5487 0.0417 108.992  
5590 9.4825E-07 3.7878E-08 8.0463E-07 3.3276E-08
1.1575E-06 7.9602E-08 0 3.9268E-07 
0.9984 0.2028 22.208  
0.8984 0.0987 22.336  
0.6152 0.0476 22.784  
5591 4.0088E-06 6.4947E-08 5.8457E-06 6.445E-08
0.000023123 1.6985E-07 0.000050826 0.000001807 
4.7622 0.3302 76.928  
4.19 0.1596 64.704  
3.6701 0.0769 65.408  
5592 8.1583E-09 3.685E-09 0.00000001 3.7301E-09
9.4582E-08 1.2419E-08 0 1.7041E-07 
1.9138 0.2542 0.128  
1.3999 0.1207 0.192  
0.4317 0.0533 0.448  
5593 0.00000058 2.1553E-08 1.0261E-06 2.1736E-08
3.3044E-06 6.4711E-08 1.5571E-06 5.1241E-07 
4.2283 0.2761 1.856  
4.024 0.1358 2.048  
3.7615 0.0669 2.624  
5594 1.3619E-07 1.2574E-08 1.6969E-07 1.3224E-08
5.0991E-07 3.6874E-08 1.3763E-07 2.8514E-07 
0.7153 0.1803 -0.384  
0.6343 0.0882 2.688  
0.5824 0.0438 0.576  
5595 1.6706E-08 3.738E-09 0.000000028 4.079E-09
2.097E-07 1.1551E-08 6.4663E-07 1.5137E-07 
2.6483 0.2202 0.832  
1.4814 0.0959 0.192  
0.8875 0.0434 0.96  
5597 6.0506E-07 2.4859E-08 6.3677E-07 0.000000018
2.1354E-06 4.2502E-08 0.000006175 4.7677E-07 
2.9996 0.2183 7.04  
2.3613 0.1026 7.168  
1.5972 0.0471 7.36  
5599 2.3336E-08 3.6525E-09 4.4513E-08 3.7338E-09
2.9508E-07 0.000000011 1.4118E-06 1.291E-07 
4.2463 0.2613 0.384  
2.8633 0.1181 0.448  
1.4546 0.0517 0.768  
5601 9.3035E-07 2.1668E-08 1.4329E-06 2.2697E-08
5.0409E-06 6.3562E-08 7.2994E-06 6.598E-07 
4.9375 0.2924 7.296  
4.4896 0.1422 7.68  
4.4443 0.0705 8.256  
5603 3.1869E-07 2.6549E-08 3.9588E-07 0.000000023
1.7231E-06 6.0653E-08 9.5736E-06 0.000001001 
1.4783 0.193 3.392  
1.1245 0.0922 3.52  
0.7091 0.0427 5.12  
5604 4.3854E-07 1.6864E-08 6.6548E-07 1.4493E-08
4.0608E-06 4.6255E-08 0.000010992 5.7859E-07 
2.9306 0.2273 1.344  
2.7165 0.1109 1.536  
2.2517 0.0524 2.112  
5605 2.5553E-07 1.8579E-08 1.2708E-07 1.184E-08
7.1939E-08 2.9739E-08 0.000000649 0.000000775 
0.6939 0.1623 0.192  
0.5873 0.0803 0.192  
0.4501 0.0389 0.704  
5606 2.3444E-06 6.4072E-08 3.4188E-06 0.000000061
9.9061E-06 1.5162E-07 0.000017366 1.6378E-06 
2.5962 0.2399 9.472  
2.3801 0.1162 9.472  
2.1539 0.057 10.112  
5607 4.9343E-08 4.897E-09 8.5305E-08 4.5447E-09
5.8323E-07 1.5187E-08 2.0722E-06 1.7874E-07 
5.8508 0.3018 0.256  
4.2948 0.1354 0.384  
2.4354 0.0572 1.088  
5608 1.8989E-07 1.7215E-08 2.8672E-07 0.000000017
1.1996E-06 0.00000005 5.2684E-07 4.467E-07 
1.4866 0.243 2.432  
1.2994 0.1184 2.496  
1.1183 0.0577 3.2  
5610 8.8317E-07 3.9794E-08 7.1753E-07 3.4564E-08
1.3521E-06 9.0514E-08 0 4.5421E-07 
0.7834 0.1857 82.752  
0.6726 0.0924 82.56  
0.489 0.045 83.072  
5612 1.1378E-07 0.000000021 0.000000173 2.1566E-08
1.1206E-06 6.1356E-08 0.000010484 1.1652E-06 
0.5075 0.1723 9.664  
0.3383 0.0831 -0.064  
0.2838 0.041 0.64  
5614 0.000013619 3.8698E-08 0.000021693 5.0597E-08
0.000086713 1.4839E-07 0.00013837 8.7261E-07 
183.3699 1.6228 8.448  
181.634 0.8061 8.576  
163.3439 0.3791 9.024  
5615 3.5684E-07 3.0265E-08 0 2.9547E-08
0.000000113 8.2877E-08 0 1.7302E-06 
1.0237 0.1976 0  
0.7437 0.0961 0.064  
0.3653 0.0454 0.448  
5617 7.9453E-07 2.2139E-08 0.000001104 2.355E-08
5.7047E-06 7.0713E-08 0.000012323 9.1473E-07 
2.1603 0.208 7.168  
1.8796 0.1003 7.36  
1.8217 0.0497 7.616  
5618 1.158E-07 2.4646E-08 1.1678E-07 2.2241E-08
5.4073E-07 5.6165E-08 3.6528E-06 1.0552E-06 
1.2084 0.194 0  
0.9514 0.0928 0.128  
0.555 0.0431 0.704  
5619 7.2217E-09 3.1171E-09 1.6066E-08 3.4286E-09
9.3409E-08 1.0348E-08 1.2853E-07 1.0261E-07 
3.4907 0.2499 0.064  
1.8506 0.108 0.192  
0.4976 0.0458 0.448  
5620 8.455E-09 2.9441E-09 8.8016E-09 2.8763E-09
2.8554E-08 7.8655E-09 2.8841E-08 8.8302E-08 
2.5234 0.2212 0  
0.6992 0.0855 0.192  
0.1921 0.0386 0.576  
5621 2.2842E-06 2.2276E-08 0.000003349 2.3639E-08
0.00001131 6.4605E-08 0.000019148 5.689E-07 
25.6426 0.6091 3.968  
23.8872 0.296 4.032  
18.1681 0.13 4.544  
5622 1.9346E-06 5.8813E-08 8.6416E-07 0.000000041
1.2208E-06 1.0783E-07 0 6.0762E-07 
0.6338 0.1845 1.344  
0.4069 0.093 -0.832  
0.3525 0.0459 -0.128  
5624 1.3631E-06 8.9185E-08 1.8367E-06 6.8405E-08
7.6236E-06 1.9137E-07 0.000015665 2.2114E-06 
2.0415 0.2138 8.256  
1.8476 0.1058 8.384  
1.4446 0.0502 8.512  
5626 1.6843E-07 2.1516E-08 1.1471E-07 1.4248E-08
2.5689E-07 4.5064E-08 1.5981E-06 9.8158E-07 
0.6349 0.1827 -0.832  
0.5072 0.088 -0.64  
0.4989 0.0445 0.128  
5627 1.3123E-07 1.2526E-08 8.0269E-08 1.0442E-08
1.0478E-07 2.8574E-08 0 2.1518E-07 
0.6607 0.1657 -0.192  
0.4971 0.0812 0.384  
0.3879 0.0404 0.96  
5628 0.000001473 2.0119E-08 0.000001785 1.9349E-08
0.000005238 5.0369E-08 8.2961E-06 5.3043E-07 
8.9689 0.3365 10.176  
8.4663 0.1636 10.368  
7.0286 0.0762 10.752  
5629 3.3893E-06 3.9689E-08 0.000005431 4.3786E-08
0.00001798 1.1827E-07 0.000015303 9.0264E-07 
8.1376 0.354 6.848  
7.249 0.168 6.912  
6.4005 0.0801 7.488  
5631 0.000002134 4.7552E-08 2.6604E-06 4.2315E-08
3.7486E-06 0.000000106 2.3222E-07 6.4554E-07 
1.518 0.2368 1.408  
1.4312 0.1152 1.408  
1.3788 0.0572 2.688  
5632 3.6461E-07 2.9356E-08 4.0488E-07 2.2209E-08
2.4276E-06 5.9265E-08 0.000018566 1.0814E-06 
0.9635 0.178 5.76  
0.7761 0.0866 7.104  
0.7433 0.0433 7.488  
5633 9.123E-09 2.8955E-09 2.3295E-08 3.4674E-09
6.3264E-08 0.000000009 0 5.5241E-08 
2.3093 0.2207 0.192  
1.5265 0.1006 0.192  
0.4184 0.0429 0.512  
5634 1.968E-07 6.109E-09 1.6606E-07 4.92E-09
1.4384E-07 1.1549E-08 0 1.3019E-07 
4.2173 0.2593 0.128  
3.8654 0.1273 0.256  
1.9798 0.0542 0.896  
5635 1.9881E-07 2.1564E-08 1.6924E-07 1.7704E-08
6.5043E-07 4.639E-08 1.0441E-06 5.4424E-07 
1.0956 0.1996 1.6  
0.8202 0.0958 1.792  
0.552 0.0454 0.704  
5637 3.4364E-07 1.7801E-08 0.000000346 1.3572E-08
9.3955E-07 3.5408E-08 2.6273E-06 4.447E-07 
1.764 0.2059 0.448  
1.6093 0.1011 0.512  
1.4664 0.0497 0.896  
5638 8.229E-09 3.6212E-09 1.847E-08 3.3905E-09
3.9319E-08 8.4749E-09 2.1844E-07 1.0822E-07 
0.9717 0.1853 0.192  
0.6624 0.0875 0  
0.2931 0.0411 0.512  
5640 2.5061E-07 1.8685E-08 2.3045E-07 1.6586E-08
4.7253E-07 4.6737E-08 5.2976E-07 5.6929E-07 
1.0371 0.1845 0  
0.952 0.0915 0.192  
0.6839 0.0444 0.64  
5642 2.1369E-06 5.4496E-08 2.0542E-06 3.9643E-08
7.0851E-06 1.0949E-07 7.6722E-06 1.2162E-06 
3.9772 0.2554 19.136  
3.3556 0.1214 19.2  
2.5525 0.0559 19.968  
5644 5.3686E-07 1.9276E-08 9.2222E-07 1.9933E-08
3.0843E-06 5.4862E-08 7.6684E-06 6.7812E-07 
6.0126 0.3078 1.152  
5.6367 0.1515 1.344  
4.9439 0.0725 2.112  
5645 4.5628E-07 2.6306E-08 4.1334E-07 1.971E-08
1.1927E-06 5.1675E-08 5.0785E-07 4.7008E-07 
1.1185 0.1776 1.472  
0.9338 0.0881 2.432  
0.8327 0.0437 2.816  
5646 3.9992E-07 4.027E-08 4.2593E-07 3.7166E-08
1.1518E-06 1.0205E-07 2.1638E-06 1.3753E-06 
1.0743 0.1973 57.728  
0.8131 0.0954 57.856  
0.4698 0.0464 0.576  
5647 7.3526E-09 3.1994E-09 2.1125E-08 3.5904E-09
0.000000194 0.000000011 2.0006E-06 1.5918E-07 
6.5049 0.3197 0.064  
3.3814 0.1273 0.128  
0.8551 0.0481 0.512  
5648 1.9766E-06 1.9732E-07 2.0511E-06 1.9559E-07
4.4113E-06 4.9077E-07 0 2.4419E-06 
1.0271 0.0462 1111.04  
0.9606 0.0227 1114.1121  
0.8377 0.0111 1119.2321  
5650 1.0446E-08 3.8638E-09 1.0817E-08 4.1278E-09
1.6092E-07 1.2592E-08 7.4167E-07 2.0858E-07 
1.0117 0.2071 0.256  
0.893 0.1019 0.256  
0.6429 0.0487 0.32  
5654 0.000003512 0.000000037 6.6511E-06 4.0312E-08
0.000026289 1.0955E-07 0.000035463 1.0039E-06 
4.8838 0.2672 19.712  
4.5987 0.131 19.712  
4.4281 0.0648 19.712  
5655 1.2814E-07 1.0359E-08 2.8832E-07 1.0112E-08
4.6579E-07 2.5936E-08 0 1.9557E-07 
1.4768 0.2073 1.664  
1.0985 0.0995 1.728  
0.9446 0.0489 3.52  
5664 1.9168E-08 5.1916E-09 2.6057E-08 4.8663E-09
6.3872E-08 1.2556E-08 8.2312E-08 1.3724E-07 
0.7308 0.1764 -0.384  
0.5959 0.0872 -0.192  
0.3779 0.0426 0.384  
5667 5.2233E-07 0.000000032 5.4427E-07 2.99E-08
1.1069E-06 8.8912E-08 2.6279E-06 1.2917E-06 
1.7369 0.2317 2.368  
1.3864 0.1112 2.496  
1.2276 0.0546 3.008  
5669 1.5654E-06 5.8298E-08 1.5458E-06 5.0452E-08
3.8632E-06 1.3866E-07 0.000000409 9.7319E-07 
1.3139 0.237 2.56  
1.2147 0.1165 2.752  
0.9579 0.057 2.752  
5697 1.3545E-06 1.5198E-08 1.0934E-06 1.2289E-08
8.9373E-07 2.4467E-08 2.685E-07 0.000000169 
11.7774 0.4049 0.512  
11.2601 0.2006 0.64  
9.4064 0.0938 1.088  
5704 1.9898E-06 2.4148E-08 1.9774E-06 1.7636E-08
4.9042E-06 4.7573E-08 3.4476E-06 3.9832E-07 
43.9272 0.7262 3.392  
32.2663 0.3147 3.392  
17.2983 0.1199 3.648  
5706 3.0863E-06 0.000000114 2.6613E-06 7.7342E-08
8.9075E-06 2.0041E-07 5.1264E-06 1.7451E-06 
1.2478 0.2052 5.696  
1.148 0.1014 5.056  
1.0603 0.0501 5.376  
5711 6.5579E-07 1.0144E-08 9.5658E-07 1.1347E-08
4.3282E-06 3.3553E-08 0.000019747 3.4919E-07 
41.245 0.7052 0.448  
37.575 0.3319 0.576  
20.756 0.1238 1.024  
5713 5.0938E-07 3.2379E-08 3.9355E-07 2.736E-08
1.0128E-06 7.5656E-08 0.000001034 8.8982E-07 
1.1319 0.2119 0.256  
0.8833 0.1022 0.256  
0.752 0.05 0.896  
5715 1.1393E-06 4.2597E-08 7.1231E-07 0.000000028
6.9915E-07 0.000000069 0 8.2921E-07 
0.7991 0.186 2.24  
0.6293 0.0926 7.424  
0.5292 0.0458 8  
5716 8.2272E-07 3.9402E-08 0.000000407 3.1564E-08
6.617E-07 8.5738E-08 0 4.4057E-07 
1.2265 0.2322 56.128  
0.8572 0.1126 56.128  
0.6337 0.0544 56.128  
5718 1.6862E-07 1.6055E-08 9.6118E-08 1.0311E-08
8.5228E-08 2.5091E-08 5.6606E-07 5.4127E-07 
0.4054 0.1646 -0.32  
0.2992 0.0802 -0.32  
0.2666 0.0412 -0.32  
5719 1.6924E-07 1.4691E-08 2.4075E-07 1.2845E-08
7.4692E-07 3.0568E-08 6.5365E-07 2.5377E-07 
1.9291 0.209 0.384  
1.7676 0.1021 0.384  
1.5974 0.0503 0.96  
5721 3.164E-07 2.9283E-08 6.896E-07 2.819E-08
2.4734E-06 6.9217E-08 6.6277E-06 6.8928E-07 
3.4169 0.2464 0.128  
